Date,Heads,Day_Result,Total_Bets,Total_Hands
2022-01-01,30,-395.0943154959205,50966.97432557978,2335
2022-01-02,30,-2491.2355514816227,64589.08790839647,2307
2022-01-03,11,-47.780114619181234,17794.52688658935,1479
2022-01-04,16,775.5048260912043,24770.107611416523,1710
2022-01-05,14,752.9684700446261,41960.076654137934,2325
2022-01-06,13,17.3638704194329,29059.153204015456,2484
2022-01-07,22,-1242.4615908339276,68868.52187859581,3551
2022-01-08,25,1774.437239108535,81774.23783264022,3827
2022-01-09,25,-4235.911065382873,42571.51176561803,2622
2022-01-10,7,772.5164729238359,12575.27349897501,682
2022-01-11,12,1570.0680904335713,26997.394497900845,1948
2022-01-12,17,-316.0826025411626,33536.47415876437,2596
2022-01-13,14,-114.49138685372819,38617.87080585082,2112
2022-01-14,20,970.379874158458,51029.999911817475,3700
2022-01-15,25,13.68059245772588,76091.97110025185,3169
2022-01-16,17,652.9327715597445,54620.06844884642,2321
2022-01-17,12,2512.2241018531195,28020.47003190797,1109
2022-01-18,16,-1904.8809471156114,29793.368553519744,1379
2022-01-19,9,-366.59321423633173,28916.11483875204,2668
2022-01-20,12,707.1763425931412,10355.375006520504,767
2022-01-21,26,-48.75245998024213,30690.26886874653,2013
2022-01-22,21,3918.080769790691,56508.476835933805,3261
2022-01-23,15,4472.88097385631,59950.7191059885,2405
2022-01-24,13,505.0642910730275,9917.456975493462,959
2022-01-25,9,-854.3996354287793,38610.92176644502,2341
2022-01-26,13,-863.1109901312742,62659.864531704035,2037
2022-01-27,15,45.667968858387326,16051.817840878077,1127
2022-01-28,19,2352.7932569682544,91163.84041472596,3461
2022-01-29,23,1985.397179586919,90227.58611587138,4568
2022-01-30,19,1352.503681660384,53574.73171305249,3409
2022-01-31,5,1098.714382880992,35080.007983771684,2001
2022-02-01,11,-3748.489466975533,48756.05819408856,1360
2022-02-02,15,3028.857337075746,40800.08249862016,2272
2022-02-03,9,46.92907002027198,8624.041888584481,830
2022-02-04,20,301.4845234503571,69291.16421622325,4531
2022-02-05,29,-1998.770742255797,72986.1574048232,3137
2022-02-06,21,-915.1841211307355,37172.9310643605,2420
2022-02-07,6,841.7092800317789,14519.685409077796,726
2022-02-08,18,-1146.3181501619717,42187.02055278317,874
2022-02-09,15,255.9594395857615,38957.43487951555,2427
2022-02-10,13,720.676389864212,31632.24738484714,1326
2022-02-11,27,2318.876633578873,83070.13511377534,5219
2022-02-12,30,877.8123435953872,73755.77315750565,4194
2022-02-13,21,3440.5435736250092,71159.1561173951,3848
2022-02-14,4,984.826965063253,32499.788075572997,1196
2022-02-15,14,3544.392794709978,24558.08689054117,956
2022-02-16,16,236.62129559022094,25195.823811750644,1593
2022-02-17,14,1197.6885734530904,47960.96304632784,1383
2022-02-18,23,2151.3041207956153,46620.4896363521,3261
2022-02-19,30,1781.5962130125763,73403.14850446914,4369
2022-02-20,19,2752.250482071444,54767.16711890286,3436
2022-02-21,7,1355.3415234340873,22014.745053684816,1516
2022-02-22,10,70.11952168690611,16735.727940871784,1136
2022-02-23,20,3159.368046189284,50853.11700808868,2297
2022-02-24,16,-1527.2526060955072,37244.85813512349,1279
2022-02-25,20,1863.480911749487,41626.061827913465,3390
2022-02-26,21,2167.835781950363,75750.7218031727,4448
2022-02-27,21,-2368.124345941641,93893.9167886385,3470
2022-02-28,13,1112.4068552103852,15961.179439671696,1190
2022-03-01,12,-4528.671145424311,34309.818731998916,1388
2022-03-02,9,-1136.1054219662215,33826.03589304247,2351
2022-03-03,10,2073.4480702614374,26939.324808404563,895
2022-03-04,30,732.0132302431152,50937.78610863168,3943
2022-03-05,28,1584.1827293641622,59880.17881685077,4363
2022-03-06,21,401.63002401160173,62083.60978010944,3039
2022-03-07,7,-1341.935826325604,51590.1065528244,1781
2022-03-08,15,1095.0326794879263,36339.85238977619,1742
2022-03-09,18,1044.9768839707076,33838.92223784857,3084
2022-03-10,9,2535.403206065663,42000.023522888405,2559
2022-03-11,30,430.77152689987264,53167.29283420591,3089
2022-03-12,23,3372.8718365829027,55949.27820677563,3643
2022-03-13,14,2621.2408311855665,68913.85656583557,2917
2022-03-14,9,949.7179437732507,17436.065275622786,1221
2022-03-15,11,139.17169062380177,13619.752953211057,909
2022-03-16,17,-39.343649605124284,16018.081589663765,1325
2022-03-17,13,-8.29350285556086,17761.13797881834,1449
2022-03-18,31,2072.970690286071,65365.502511932675,2299
2022-03-19,34,2559.900021254223,71480.58087812133,4230
2022-03-20,19,-1494.169326044462,71753.98893735267,3218
2022-03-21,10,-284.1429200906,14054.684611352792,1130
2022-03-22,14,2342.285743025377,38718.79495904104,2048
2022-03-23,17,-819.0586447373693,52577.340593111076,2046
2022-03-24,13,2151.062479417925,45553.57331865425,2086
2022-03-25,27,3025.087286570814,68282.50463191063,3988
2022-03-26,30,4032.314210606895,86145.41440589074,3733
2022-03-27,17,-1229.11779929862,61642.50116852343,3003
2022-03-28,20,331.8319335171157,29393.725123475637,1356
2022-03-29,13,-755.0160813405082,26654.19241028398,1609
2022-03-30,14,83.10515081866421,45027.14892915146,2427
2022-03-31,12,280.25222401318587,28690.561145047373,2107
2022-04-01,28,974.2594621222356,67255.12551922257,4335
2022-04-02,34,-268.48656478669943,58326.73065967907,2038
2022-04-03,15,-1312.9231170489165,50285.63853984187,1706
2022-04-04,17,216.83384422419175,28505.66132007709,2283
2022-04-05,14,133.68570441637775,17931.66807336782,1757
2022-04-06,16,2620.4756502974915,38994.866207836756,1891
2022-04-07,11,-2337.6352230897583,52042.26523022626,1662
2022-04-08,22,-299.35708876243405,95459.74666162237,4129
2022-04-09,25,19.270443535291804,79202.63147383688,3853
2022-04-10,22,-1475.3480007270337,31737.331983039552,2372
2022-04-11,9,34.72722600091505,7410.69673414048,725
2022-04-12,9,2322.0728614646077,71797.66493320288,3062
2022-04-13,16,2835.829545532277,66075.80185601723,2742
2022-04-14,18,169.67040938571037,50739.296452376046,1894
2022-04-15,30,-4289.397958185374,86455.91869607157,4115
2022-04-16,34,3593.4700543681747,62237.045932010085,3593
2022-04-17,23,1988.0360680449032,24046.690462660168,1494
2022-04-18,8,881.3048485228594,24498.600339245866,1727
2022-04-19,13,3357.080455746475,43008.49905466596,2023
2022-04-20,17,782.8851591361224,48659.544936256316,2055
2022-04-21,11,413.8125331810736,17778.899530775627,1491
2022-04-22,25,4186.1466671242815,104091.85218638009,4841
2022-04-23,20,-82.60475139101845,78527.93649481374,5248
2022-04-24,26,661.6303401506513,44280.82336542967,2377
2022-04-25,6,329.0971259305001,39983.149478566345,1925
2022-04-26,12,-2318.6600864695365,42665.32978816107,2548
2022-04-27,15,1878.3080271662006,33570.67681370789,2560
2022-04-28,12,670.8615305937986,40180.716688275155,1933
2022-04-29,19,1969.6759732232042,54823.801308510636,2136
2022-04-30,32,3988.2554282061014,46489.511136756846,2454
2022-05-01,17,2005.706058879203,65333.555687696746,3286
2022-05-02,6,365.641041231493,10255.116674158955,752
2022-05-03,15,852.3694853638115,34860.11136401587,1833
2022-05-04,16,-300.18012321730146,32549.690695599777,1883
2022-05-05,13,1613.1645356076815,44092.64848236486,1442
2022-05-06,24,3267.947150490047,98498.58695823177,4052
2022-05-07,32,1646.6349234247232,42584.352802925954,3257
2022-05-08,24,-1066.7158804105698,42664.79091930351,2919
2022-05-09,15,-1426.5115669103611,26562.932007791354,1625
2022-05-10,10,1733.6901947232034,22716.06464647228,1343
2022-05-11,9,1402.8307120826976,55833.51405509182,2166
2022-05-12,12,1987.3420504030175,38576.69304917875,1573
2022-05-13,19,59.22327368236881,111152.0803114117,4296
2022-05-14,29,4717.224838405604,72380.1876400895,4266
2022-05-15,20,2388.6847971232105,75414.06415356195,3425
2022-05-16,9,847.5718301744532,33568.19405260478,1907
2022-05-17,13,130.7212312234771,51580.77691870518,2563
2022-05-18,22,-2150.908767339561,53067.01491908233,1944
2022-05-19,8,1155.082119253858,45299.048989189185,2181
2022-05-20,15,1624.4123106138381,77882.47197860348,2980
2022-05-21,29,2763.3942038726123,82473.27562500922,4103
2022-05-22,23,3012.956640424825,71844.94825140882,3527
2022-05-23,9,-2816.967789981394,66682.92955340182,3693
2022-05-24,11,297.31377457967,37849.4382316829,1745
2022-05-25,10,6154.581081357623,44439.53805097315,2008
2022-05-26,13,-2677.0389586048836,33573.60832505821,1615
2022-05-27,20,406.20869968680427,66903.69052372673,3180
2022-05-28,33,6654.526435383202,87024.74898154763,3724
2022-05-29,23,1775.8174466023343,57511.9301028757,3177
2022-05-30,14,295.93732642784,16518.321573681227,957
2022-05-31,14,-288.64726566898344,9726.119387615701,808
2022-06-01,16,-263.71439001793374,22410.46300004664,2251
2022-06-02,11,425.21478765831785,24180.31613291904,1393
2022-06-03,26,4085.4596392623794,90893.73537779297,5232
2022-06-04,26,-798.5677604129651,49406.67576173077,3739
2022-06-05,14,738.0988894183612,54557.97828712607,3585
2022-06-06,13,-1492.317879975383,23566.204214965044,2081
2022-06-07,14,2521.644997384205,41505.11636194159,1622
2022-06-08,16,433.3642693390204,34428.090311947904,2732
2022-06-09,14,-414.8282853550485,27712.370410623997,1773
2022-06-10,33,-524.5973057507805,88318.51630708919,4106
2022-06-11,34,-2229.1238942345703,85144.81130777724,3553
2022-06-12,13,-537.0452171129106,79848.03598008712,2069
2022-06-13,8,-1281.2312055274174,32767.605606906647,1237
2022-06-14,8,425.54369162342095,35014.152857176545,1605
2022-06-15,11,4028.8435221816603,65363.5000842814,2337
2022-06-16,12,749.2476891009968,33106.82904465122,1961
2022-06-17,31,175.22684785473908,52364.41864915863,3665
2022-06-18,29,-803.0671787671304,76266.09088893342,2858
2022-06-19,22,2815.772396466187,68146.48786009647,3315
2022-06-20,12,262.850639196335,19539.993672830664,1410
2022-06-21,12,-868.7111054276156,45746.80974884921,2668
2022-06-22,17,-388.24905906025464,42837.71658066473,1315
2022-06-23,10,2413.747032089297,61063.970433635666,2778
2022-06-24,21,272.29341050317487,96020.17664071597,3982
2022-06-25,26,709.1977175278522,106074.24428566935,4215
2022-06-26,25,288.75934357292596,72375.48225296874,2355
2022-06-27,9,2739.7033394348327,47052.806683440234,2454
2022-06-28,12,637.2033278773166,13281.326894328007,1093
2022-06-29,23,-2755.238896375109,57204.71756232449,2841
2022-06-30,19,268.3256977892552,52570.96534856922,2013
2022-07-01,21,-60.07645220768683,102884.80038438032,3841
2022-07-02,34,-1322.4108438443097,97894.1112333772,5156
2022-07-03,23,846.9146096634357,81592.17773737044,3851
2022-07-04,18,-411.74510159406543,15628.08667911901,1303
2022-07-05,14,940.3521404571795,15169.583787299765,1285
2022-07-06,18,-534.5848490053655,30781.499531809473,1931
2022-07-07,11,1644.3093816279115,42932.217633404514,1871
2022-07-08,25,202.89906347882936,59061.91582834026,4222
2022-07-09,32,4357.535211406268,72076.54475159192,3256
2022-07-10,27,-2976.764528330855,66027.74955268181,2571
2022-07-11,16,1799.6237399824731,46981.63162573375,2595
2022-07-12,13,-1727.5430934287258,39892.30143543348,2632
2022-07-13,19,55.89578295618594,59315.99082563378,1640
2022-07-14,8,-1749.4714507183664,65709.44969967217,2243
2022-07-15,28,2762.5334433425965,59930.53349995626,3640
2022-07-16,31,4638.602344204411,60133.182714952265,3624
2022-07-17,28,2312.4006135516693,45750.136403608296,3293
2022-07-18,14,-1621.3128096772455,59858.43997084457,1778
2022-07-19,17,-130.99251267511067,26158.008383185206,2125
2022-07-20,17,1056.100103973949,46426.98699879411,2333
2022-07-21,12,2377.5502398326244,40912.790016099156,3015
2022-07-22,30,-4344.683812432549,86352.43470531229,3535
2022-07-23,31,2151.2425126261005,89797.86007107067,4770
2022-07-24,20,2965.3367338962926,66507.62070096646,3218
2022-07-25,10,663.8736497125021,26116.65723392312,1646
2022-07-26,16,47.405654788409734,16226.702732464022,1637
2022-07-27,18,-600.7124033359682,54540.078915203354,3607
2022-07-28,5,959.0764111291426,65950.43973704705,2792
2022-07-29,28,2952.8417371201303,66814.5921441028,3978
2022-07-30,25,-1111.9026386520936,81140.20532285252,4014
2022-07-31,27,171.23588403240552,44088.07046875873,4059
2022-08-01,9,-0.8059853294078838,18136.36684912072,1354
2022-08-02,7,-899.0221361820657,45737.06157713338,2163
2022-08-03,15,-1358.570999278779,79151.21835936638,2661
2022-08-04,8,-984.3502861672114,44549.1909893606,2694
2022-08-05,24,2191.7586168596627,67308.73700077037,2233
2022-08-06,22,2355.4221557490964,78901.10757792329,5056
2022-08-07,21,1268.0890072675763,82267.7781950787,2607
2022-08-08,15,-2273.8908740889165,29990.529369187618,1611
2022-08-09,16,3781.7541646263358,72916.1270722016,2516
2022-08-10,11,547.34972091641,25940.402708687856,2604
2022-08-11,10,363.27291391443043,16493.921634698017,1656
2022-08-12,21,-976.5708626789199,65361.826570665115,4464
2022-08-13,25,-1197.95912888398,115430.45657298353,4579
2022-08-14,18,-65.0487495794767,55265.20004220457,2601
2022-08-15,20,619.9813917909643,21588.720326949566,1888
2022-08-16,14,-1507.292846768608,27799.257331983317,1185
2022-08-17,20,-142.83146043254692,73728.08964259335,2647
2022-08-18,14,72.61501766043078,32437.06989337252,2666
2022-08-19,28,-639.5401889987274,71393.40348250906,4999
2022-08-20,22,3859.974699536707,124775.60361640852,3362
2022-08-21,18,2660.7407919361076,58212.571691429344,3111
2022-08-22,16,1651.9373852714373,30998.748123345445,1394
2022-08-23,7,226.1893525931692,32838.516480996084,1108
2022-08-24,19,1771.7558418113201,38483.81961122167,1742
